Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,309,309
1,316,316
2,325,325
3,326,326
4,329,329
5,314,314
6,309,309
7,322,322
8,310,310
9,318,318
10,314,314
11,308,308
12,318,318
13,314,314
14,316,316
15,315,315
16,316,316
17,313,313
18,311,311
19,325,325
20,311,311
21,309,309
22,306,306
23,329,329
24,318,318
25,308,308
26,318,318
27,317,317
28,317,317
29,328,328
30,318,318
31,306,306
32,305,305
33,295,295
34,307,307
35,314,314
36,313,313
37,316,316
38,306,306
39,317,317
40,311,311
41,301,301
42,312,312
43,316,316
44,321,321
45,301,301
46,307,307
47,297,297
48,304,304
49,316,316
50,314,314
51,310,310
52,322,322
53,322,322
54,309,309
55,312,312
56,306,306
57,303,303
58,309,309
59,307,307
60,304,304
61,308,308
62,310,310
63,312,312
64,316,316
65,326,326
66,320,320
67,311,311
68,306,306
69,320,320
70,301,301
71,317,317
72,317,317
73,313,313
74,301,301
75,301,301
76,326,326
77,317,317
78,318,318
79,314,314
80,307,307
81,314,314
82,318,318
83,319,319
84,315,315
85,311,311
86,324,324
87,311,311
88,294,294
89,316,316
90,324,324
91,316,316
92,304,304
93,301,301
94,313,313
95,333,333
96,317,317
97,308,308
98,313,313
99,317,317
100,321,321
101,311,311
102,325,325
103,318,318
104,313,313
105,318,318
106,328,328
107,320,320
108,309,309
109,318,318
110,308,308
111,324,324
112,330,330
113,317,317
114,324,324
115,318,318
116,322,322
117,328,328
118,310,310
119,319,319
120,320,320
121,317,317
122,334,334
123,324,324
124,311,311
125,332,332
126,322,322
127,311,311
128,315,315
129,303,303
130,318,318
131,306,306
132,303,303
133,311,311
134,315,315
135,310,310
136,311,311
137,311,311
138,316,316
139,307,307
140,314,314
141,309,309
142,304,304
143,310,310
144,316,316
145,307,307
146,316,316
147,326,326
148,317,317
149,318,318
150,317,317
151,319,319
152,321,321
153,318,318
154,322,322
155,316,316
156,318,318
157,311,311
158,310,310
159,310,310
160,309,309
161,311,311
162,326,326
163,300,300
164,310,310
165,325,325
166,320,320
167,312,312
168,307,307
169,307,307
170,309,309
171,312,312
172,305,305
173,311,311
174,302,302
175,306,306
176,314,314
177,319,319
178,306,306
179,309,309
180,313,313
181,327,327
182,316,316
183,318,318
184,316,316
185,318,318
186,311,311
187,315,315
188,315,315
189,319,319
190,309,309
191,321,321
192,326,326
193,323,323
194,322,322
195,309,309
196,311,311
197,324,324
198,320,320
199,322,322
200,331,331
201,314,314
202,314,314
203,317,317
204,303,303
205,318,318
206,314,314
207,314,314
208,307,307
209,314,314
210,309,309
211,317,317
212,318,318
213,313,313
214,308,308
215,315,315
216,327,327
217,322,322
218,318,318
219,317,317
220,308,308
221,313,313
222,316,316
223,309,309
224,306,306
225,322,322
226,317,317
227,316,316
228,321,321
229,312,312
230,311,311
231,317,317
232,313,313
233,326,326
234,324,324
235,311,311
236,311,311
237,322,322
238,311,311
239,319,319
240,314,314
241,326,326
242,316,316
243,330,330
244,324,324
245,324,324
246,316,316
247,317,317
248,315,315
249,310,310
250,317,317
251,316,316
252,329,329
253,324,324
254,316,316
255,317,317
256,299,299
257,316,316
258,314,314
259,321,321
260,306,306
261,333,333
262,317,317
263,317,317
264,317,317
265,322,322
266,329,329
267,340,340
268,314,314
269,325,325
270,329,329
271,319,319
272,322,322
273,313,313
274,314,314
275,329,329
276,315,315
277,322,322
278,326,326
279,321,321
280,318,318
281,304,304
282,324,324
283,299,299
284,312,312
285,309,309
286,320,320
287,322,322
288,319,319
289,309,309
290,314,314
291,321,321
292,311,311
293,318,318
294,322,322
295,332,332
296,322,322
297,321,321
298,321,321
299,317,317
300,316,316
301,328,328
302,313,313
303,318,318
304,323,323
305,321,321
306,321,321
307,314,314
308,310,310
309,322,322
310,327,327
311,307,307
312,323,323
313,322,322
314,321,321
315,320,320
316,322,322
317,320,320
318,324,324
319,318,318
320,314,314
321,313,313
322,316,316
323,314,314
324,319,319
325,314,314
326,308,308
327,315,315
328,324,324
329,312,312
330,307,307
331,312,312
332,314,314
333,307,307
334,314,314
335,308,308
336,318,318
337,309,309
338,313,313
339,313,313
340,308,308
341,306,306
342,309,309
343,303,303
344,304,304
345,310,310
346,310,310
347,308,308
348,300,300
349,312,312
350,318,318
351,316,316
352,304,304
353,307,307
354,307,307
355,312,312
356,317,317
357,314,314
358,306,306
359,306,306
360,318,318
361,313,313
362,320,320
363,319,319
364,311,311
365,310,310
366,305,305
367,303,303
368,323,323
369,309,309
370,314,314
371,310,310
372,316,316
373,330,330
374,312,312
375,311,311
376,319,319
377,317,317
378,311,311
379,313,313
380,325,325
381,315,315
382,312,312
383,316,316
384,313,313
385,320,320
386,313,313
387,307,307
388,310,310
389,309,309
390,315,315
391,314,314
392,310,310
393,312,312
394,311,311
395,300,300
396,309,309
397,306,306
398,310,310
399,300,300
400,311,311
401,312,312
402,302,302
403,304,304
404,310,310
405,304,304
406,308,308
407,312,312
408,307,307
409,314,314
410,318,318
411,311,311
412,318,318
413,323,323
414,311,311
415,316,316
416,319,319
417,295,295
418,321,321
419,324,324
420,313,313
421,321,321
422,301,301
423,316,316
424,298,298
425,301,301
426,316,316
427,313,313
428,313,313
429,312,312
430,308,308
431,315,315
432,306,306
433,313,313
434,316,316
435,317,317
436,312,312
437,311,311
438,307,307
439,296,296
440,301,301
441,310,310
442,314,314
443,311,311
444,312,312
445,315,315
446,318,318
447,310,310
448,318,318
449,317,317
450,317,317
451,312,312
452,323,323
453,316,316
454,315,315
455,314,314
456,309,309
457,308,308
458,307,307
459,320,320
460,314,314
461,310,310
462,309,309
463,320,320
464,307,307
465,305,305
466,314,314
467,313,313
468,306,306
469,325,325
470,324,324
471,325,325
472,317,317
473,311,311
474,322,322
475,314,314
476,322,322
477,320,320
478,322,322
479,318,318
480,318,318
481,307,307
482,312,312
483,314,314
484,312,312
485,323,323
486,321,321
487,309,309
488,321,321
489,311,311
490,323,323
491,313,313
492,319,319
493,321,321
494,317,317
495,310,310
496,325,325
497,313,313
498,304,304
499,302,302
500,314,314
501,303,303
502,313,313
503,310,310
504,313,313
505,323,323
506,327,327
507,318,318
508,315,315
509,315,315
510,318,318
511,316,316
512,321,321
513,320,320
514,328,328
515,319,319
516,312,312
517,326,326
518,306,306
519,322,322
520,316,316
521,316,316
522,321,321
523,323,323
524,317,317
525,321,321
526,318,318
527,328,328
528,319,319
529,325,325
530,328,328
531,323,323
532,320,320
533,327,327
534,323,323
535,328,328
536,317,317
537,322,322
538,313,313
539,320,320
540,320,320
541,308,308
542,310,310
543,318,318
544,310,310
545,300,300
546,311,311
547,330,330
548,320,320
549,305,305
550,320,320
551,312,312
552,321,321
553,317,317
554,317,317
555,315,315
556,313,313
557,310,310
558,306,306
559,317,317
560,315,315
561,320,320
562,326,326
563,323,323
564,324,324
565,315,315
566,320,320
567,316,316
568,319,319
569,310,310
570,324,324
571,326,326
572,318,318
573,314,314
574,316,316
575,333,333
576,321,321
577,336,336
578,324,324
579,321,321
580,314,314
581,320,320
582,320,320
583,318,318
584,326,326
585,306,306
586,303,303
587,331,331
588,312,312
589,311,311
590,309,309
591,301,301
592,306,306
593,315,315
594,309,309
595,316,316
596,303,303
597,308,308
598,311,311
599,312,312
600,295,295
601,307,307
602,308,308
603,309,309
604,307,307
605,311,311
606,313,313
607,313,313
608,311,311
609,315,315
610,312,312
611,306,306
612,318,318
613,303,303
614,303,303
615,306,306
616,311,311
617,300,300
618,305,305
619,304,304
620,312,312
621,312,312
622,297,297
623,312,312
624,301,301
625,317,317
626,313,313
627,309,309
628,310,310
629,318,318
630,302,302
631,316,316
632,302,302
633,318,318
634,312,312
635,302,302
636,303,303
637,303,303
638,292,292
639,301,301
640,317,317
641,309,309
642,309,309
643,310,310
644,310,310
645,314,314
646,319,319
647,322,322
648,303,303
649,318,318
650,301,301
651,308,308
652,310,310
653,305,305
654,325,325
655,324,324
656,306,306
657,299,299
658,323,323
659,312,312
660,311,311
661,314,314
662,320,320
663,310,310
664,320,320
665,324,324
666,313,313
667,311,311
668,317,317
669,317,317
670,305,305
671,308,308
672,311,311
673,314,314
674,315,315
675,309,309
676,324,324
677,302,302
678,318,318
679,313,313
680,319,319
681,310,310
682,304,304
683,311,311
684,306,306
685,323,323
686,317,317
687,319,319
688,311,311
689,310,310
690,318,318
691,312,312
692,315,315
693,304,304
694,303,303
695,305,305
696,319,319
697,312,312
698,308,308
699,314,314
700,313,313
701,311,311
702,324,324
703,311,311
704,319,319
705,315,315
706,313,313
707,314,314
708,312,312
709,312,312
710,306,306
711,308,308
712,320,320
713,324,324
714,319,319
715,317,317
716,318,318
717,319,319
718,330,330
719,317,317
720,311,311
721,317,317
722,305,305
723,323,323
724,315,315
725,315,315
726,316,316
727,310,310
728,316,316
729,316,316
730,321,321
731,306,306
732,318,318
733,308,308
734,316,316
735,310,310
736,313,313
737,317,317
738,317,317
739,307,307
740,313,313
741,316,316
742,324,324
743,324,324
744,319,319
745,324,324
746,312,312
747,320,320
748,316,316
749,314,314
750,318,318
751,323,323
752,314,314
753,315,315
754,325,325
755,307,307
756,318,318
757,315,315
758,313,313
759,311,311
760,308,308
761,323,323
762,329,329
763,318,318
764,309,309
765,295,295
766,307,307
767,310,310
768,324,324
769,331,331
770,315,315
771,306,306
772,317,317
773,309,309
774,303,303
775,310,310
776,309,309
777,307,307
778,319,319
779,320,320
780,307,307
781,306,306
782,317,317
783,314,314
784,325,325
785,318,318
786,315,315
787,321,321
788,314,314
789,305,305
790,315,315
791,303,303
792,306,306
793,305,305
794,308,308
795,316,316
796,309,309
797,329,329
798,315,315
799,308,308
800,309,309
801,308,308
802,310,310
803,308,308
804,304,304
805,310,310
806,317,317
807,309,309
808,323,323
809,316,316
810,319,319
811,319,319
812,305,305
813,323,323
814,318,318
815,322,322
816,306,306
817,313,313
818,322,322
819,314,314
820,309,309
821,317,317
822,315,315
823,312,312
824,319,319
825,319,319
826,309,309
827,312,312
828,308,308
829,311,311
830,307,307
831,306,306
832,318,318
833,305,305
834,316,316
835,322,322
836,322,322
837,313,313
838,307,307
839,323,323
840,322,322
841,321,321
842,314,314
843,321,321
844,316,316
845,317,317
846,314,314
847,321,321
848,320,320
849,315,315
850,305,305
851,312,312
852,327,327
853,310,310
854,305,305
855,312,312
856,316,316
857,326,326
858,321,321
859,317,317
860,315,315
861,320,320
862,305,305
863,323,323
864,312,312
865,314,314
866,311,311
867,295,295
868,309,309
869,315,315
870,298,298
871,303,303
872,304,304
873,307,307
874,300,300
875,309,309
876,319,319
877,318,318
878,306,306
879,321,321
880,313,313
881,311,311
882,326,326
883,318,318
884,311,311
885,304,304
886,318,318
887,322,322
888,312,312
889,312,312
890,315,315
891,321,321
892,312,312
893,305,305
894,307,307
895,306,306
896,311,311
897,307,307
898,296,296
899,300,300
900,307,307
901,311,311
902,317,317
903,307,307
904,309,309
905,311,311
906,305,305
907,310,310
908,301,301
909,313,313
910,292,292
911,299,299
912,301,301
913,310,310
914,308,308
915,304,304
916,317,317
917,301,301
918,304,304
919,327,327
920,319,319
921,304,304
922,308,308
923,302,302
924,311,311
925,321,321
926,316,316
927,313,313
928,313,313
929,327,327
930,326,326
931,306,306
932,304,304
933,323,323
934,326,326
935,314,314
936,324,324
937,304,304
938,312,312
939,316,316
940,316,316
941,315,315
942,313,313
943,313,313
944,328,328
945,320,320
946,322,322
947,316,316
948,303,303
949,325,325
950,313,313
951,325,325
952,313,313
953,315,315
954,308,308
955,305,305
956,311,311
957,304,304
958,325,325
959,310,310
960,319,319
961,325,325
962,330,330
963,321,321
964,295,295
965,329,329
966,317,317
967,325,325
968,317,317
969,316,316
970,324,324
971,312,312
972,308,308
973,321,321
974,311,311
975,305,305
976,324,324
977,309,309
978,314,314
979,312,312
