Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,307,307
1,317,317
2,311,311
3,318,318
4,326,326
5,321,321
6,329,329
7,316,316
8,322,322
9,300,300
10,312,312
11,310,310
12,317,317
13,319,319
14,308,308
15,315,315
16,317,317
17,305,305
18,316,316
19,314,314
20,317,317
21,313,313
22,322,322
23,311,311
24,319,319
25,310,310
26,315,315
27,321,321
28,319,319
29,316,316
30,320,320
31,320,320
32,307,307
33,316,316
34,321,321
35,318,318
36,322,322
37,317,317
38,325,325
39,322,322
40,320,320
41,320,320
42,324,324
43,318,318
44,325,325
45,317,317
46,316,316
47,314,314
48,318,318
49,322,322
50,317,317
51,326,326
52,314,314
53,316,316
54,320,320
55,328,328
56,331,331
57,315,315
58,317,317
59,329,329
60,317,317
61,326,326
62,317,317
63,328,328
64,318,318
65,323,323
66,336,336
67,322,322
68,331,331
69,321,321
70,331,331
71,324,324
72,334,334
73,330,330
74,327,327
75,326,326
76,312,312
77,319,319
78,319,319
79,318,318
80,315,315
81,318,318
82,322,322
83,328,328
84,325,325
85,332,332
86,332,332
87,323,323
88,322,322
89,322,322
90,321,321
91,319,319
92,319,319
93,322,322
94,324,324
95,307,307
96,319,319
97,317,317
98,319,319
99,317,317
100,315,315
101,329,329
102,314,314
103,322,322
104,319,319
105,327,327
106,332,332
107,333,333
108,327,327
109,343,343
110,322,322
111,328,328
112,317,317
113,323,323
114,308,308
115,314,314
116,328,328
117,320,320
118,320,320
119,317,317
120,320,320
121,325,325
122,330,330
123,328,328
124,327,327
125,329,329
126,328,328
127,328,328
128,312,312
129,318,318
130,323,323
131,332,332
132,338,338
133,323,323
134,325,325
135,332,332
136,319,319
137,318,318
138,321,321
139,325,325
140,325,325
141,318,318
142,322,322
143,338,338
144,336,336
145,331,331
146,326,326
147,331,331
148,340,340
149,331,331
150,327,327
151,328,328
152,324,324
153,329,329
154,322,322
155,331,331
156,326,326
157,336,336
158,330,330
159,327,327
160,328,328
161,325,325
162,323,323
163,316,316
164,333,333
165,334,334
166,332,332
167,331,331
168,331,331
169,331,331
170,337,337
171,320,320
172,328,328
173,320,320
174,318,318
175,328,328
176,322,322
177,318,318
178,328,328
179,329,329
180,332,332
181,314,314
182,314,314
183,318,318
184,324,324
185,324,324
186,334,334
187,323,323
188,331,331
189,337,337
190,325,325
191,332,332
192,330,330
193,327,327
194,330,330
195,321,321
196,317,317
197,338,338
198,326,326
199,336,336
200,323,323
201,325,325
202,330,330
203,326,326
204,338,338
205,313,313
206,341,341
207,330,330
208,330,330
209,327,327
210,330,330
211,328,328
212,330,330
213,325,325
214,315,315
215,310,310
216,312,312
217,312,312
218,328,328
219,328,328
220,321,321
221,316,316
222,306,306
223,325,325
224,330,330
225,322,322
226,320,320
227,329,329
228,319,319
229,320,320
230,325,325
231,323,323
232,325,325
233,319,319
234,325,325
235,320,320
236,323,323
237,320,320
238,314,314
239,331,331
240,322,322
241,322,322
242,321,321
243,322,322
244,304,304
245,324,324
246,327,327
247,315,315
248,324,324
249,323,323
250,329,329
251,327,327
252,327,327
253,330,330
254,336,336
255,320,320
256,323,323
257,319,319
258,331,331
259,314,314
260,319,319
261,317,317
262,325,325
263,329,329
264,322,322
265,326,326
266,322,322
267,328,328
268,317,317
269,324,324
270,318,318
271,328,328
272,319,319
273,327,327
274,334,334
275,330,330
276,326,326
277,316,316
278,323,323
279,321,321
280,328,328
281,323,323
282,326,326
283,318,318
284,318,318
285,319,319
286,321,321
287,323,323
288,321,321
289,326,326
290,329,329
291,327,327
292,330,330
293,322,322
294,331,331
295,333,333
296,318,318
297,327,327
298,332,332
299,331,331
300,333,333
301,329,329
302,331,331
303,318,318
304,326,326
305,328,328
306,321,321
307,336,336
308,317,317
309,323,323
310,309,309
311,313,313
312,339,339
313,326,326
314,325,325
315,318,318
316,313,313
317,326,326
318,327,327
319,331,331
320,328,328
321,333,333
322,321,321
323,330,330
324,317,317
325,336,336
326,328,328
327,328,328
328,331,331
329,325,325
330,318,318
331,325,325
332,330,330
333,323,323
334,335,335
335,312,312
336,313,313
337,320,320
338,319,319
339,316,316
340,314,314
341,313,313
342,330,330
343,313,313
344,323,323
345,320,320
346,323,323
347,328,328
348,346,346
349,322,322
350,327,327
351,326,326
352,333,333
353,318,318
354,329,329
355,333,333
356,315,315
357,318,318
358,319,319
359,318,318
360,308,308
361,323,323
362,324,324
363,309,309
364,321,321
365,305,305
366,328,328
367,328,328
368,326,326
369,333,333
370,314,314
371,330,330
372,328,328
373,330,330
374,333,333
375,332,332
376,332,332
377,335,335
378,321,321
379,326,326
380,326,326
381,318,318
382,320,320
383,324,324
384,337,337
385,313,313
386,330,330
387,319,319
388,332,332
389,325,325
390,320,320
391,338,338
392,325,325
393,327,327
394,332,332
395,330,330
396,328,328
397,325,325
398,325,325
399,328,328
400,327,327
401,325,325
402,340,340
403,328,328
404,333,333
405,325,325
406,318,318
407,320,320
408,327,327
409,328,328
410,335,335
411,321,321
412,326,326
413,330,330
414,324,324
415,334,334
416,327,327
417,335,335
418,333,333
419,318,318
420,320,320
421,325,325
422,326,326
423,333,333
424,322,322
425,315,315
426,326,326
427,308,308
428,322,322
429,326,326
430,326,326
431,328,328
432,314,314
433,326,326
434,323,323
435,327,327
436,320,320
437,324,324
438,328,328
439,328,328
440,317,317
441,320,320
442,325,325
443,329,329
444,314,314
445,309,309
446,327,327
447,333,333
448,317,317
449,312,312
450,322,322
451,319,319
452,319,319
453,312,312
454,327,327
455,316,316
456,319,319
457,323,323
458,317,317
459,309,309
460,326,326
461,318,318
462,313,313
463,316,316
464,332,332
465,332,332
466,335,335
467,329,329
468,321,321
469,316,316
470,313,313
471,307,307
472,306,306
473,310,310
474,320,320
475,318,318
476,317,317
477,318,318
478,319,319
479,324,324
480,318,318
481,318,318
482,334,334
483,323,323
484,326,326
485,331,331
486,317,317
487,331,331
488,322,322
489,321,321
490,320,320
491,318,318
492,317,317
493,318,318
494,323,323
495,316,316
496,329,329
497,327,327
498,318,318
499,325,325
500,322,322
501,317,317
502,322,322
503,328,328
504,317,317
505,317,317
506,316,316
507,333,333
508,332,332
509,317,317
510,329,329
511,317,317
512,324,324
513,330,330
514,319,319
515,327,327
516,323,323
517,336,336
518,318,318
519,314,314
520,327,327
521,316,316
522,337,337
523,325,325
524,316,316
525,317,317
526,324,324
527,313,313
528,317,317
529,312,312
530,325,325
531,333,333
532,326,326
533,335,335
534,326,326
535,328,328
536,312,312
537,318,318
538,323,323
539,318,318
540,324,324
541,323,323
542,322,322
543,326,326
544,331,331
545,320,320
546,330,330
547,329,329
548,322,322
549,326,326
550,328,328
551,315,315
552,329,329
553,340,340
554,311,311
555,319,319
556,341,341
557,321,321
558,319,319
559,326,326
560,321,321
561,327,327
562,321,321
563,322,322
564,322,322
565,325,325
566,321,321
567,320,320
568,324,324
569,315,315
570,324,324
571,326,326
572,324,324
573,322,322
574,324,324
575,331,331
576,316,316
577,329,329
578,306,306
579,340,340
580,325,325
581,327,327
582,325,325
583,322,322
584,322,322
585,321,321
586,334,334
587,328,328
588,327,327
589,335,335
590,332,332
591,321,321
592,314,314
593,317,317
594,304,304
595,327,327
596,325,325
597,330,330
598,320,320
599,328,328
600,326,326
601,327,327
602,316,316
603,329,329
604,321,321
605,317,317
606,322,322
607,328,328
608,334,334
609,312,312
610,310,310
611,321,321
612,310,310
613,328,328
614,333,333
615,327,327
616,317,317
617,324,324
618,320,320
619,322,322
620,332,332
621,325,325
622,321,321
623,322,322
624,328,328
625,335,335
626,337,337
627,327,327
628,326,326
629,325,325
630,337,337
631,330,330
632,318,318
633,324,324
634,313,313
635,330,330
636,318,318
637,317,317
638,320,320
639,326,326
640,312,312
641,313,313
642,325,325
643,322,322
644,327,327
645,313,313
646,318,318
647,328,328
648,335,335
649,321,321
650,330,330
651,334,334
652,331,331
653,330,330
654,328,328
655,314,314
656,317,317
657,340,340
658,330,330
659,330,330
660,321,321
661,320,320
662,319,319
663,318,318
664,323,323
665,329,329
666,320,320
667,329,329
668,323,323
669,320,320
670,327,327
671,334,334
672,329,329
673,324,324
674,304,304
675,321,321
676,319,319
677,331,331
678,324,324
679,322,322
680,312,312
681,323,323
682,330,330
683,320,320
684,322,322
685,337,337
686,330,330
687,339,339
688,333,333
689,330,330
690,315,315
691,325,325
692,333,333
693,326,326
694,310,310
695,332,332
696,337,337
697,333,333
698,320,320
699,338,338
700,330,330
701,326,326
702,327,327
703,331,331
704,330,330
705,320,320
706,318,318
707,322,322
708,319,319
709,326,326
710,328,328
711,325,325
712,331,331
713,329,329
714,315,315
715,310,310
716,325,325
717,317,317
718,334,334
719,328,328
720,330,330
721,328,328
722,321,321
723,323,323
724,333,333
725,314,314
726,338,338
727,314,314
728,329,329
729,323,323
730,323,323
731,321,321
732,317,317
733,309,309
734,309,309
735,318,318
736,313,313
737,315,315
738,322,322
739,311,311
740,321,321
741,315,315
742,325,325
743,330,330
744,325,325
745,320,320
746,322,322
747,324,324
748,330,330
749,331,331
750,316,316
751,330,330
752,317,317
753,321,321
754,331,331
755,311,311
756,307,307
757,315,315
758,312,312
759,314,314
760,326,326
761,325,325
762,314,314
763,316,316
764,312,312
765,306,306
766,307,307
767,313,313
768,318,318
769,330,330
770,318,318
771,336,336
772,327,327
773,314,314
774,313,313
775,321,321
776,327,327
777,308,308
778,312,312
779,322,322
780,309,309
781,327,327
782,319,319
783,308,308
784,321,321
785,329,329
786,325,325
787,327,327
788,325,325
789,324,324
790,316,316
791,324,324
792,326,326
793,324,324
794,333,333
795,321,321
796,321,321
797,311,311
798,325,325
799,322,322
800,328,328
801,326,326
802,323,323
803,318,318
804,335,335
805,312,312
806,310,310
807,316,316
808,320,320
809,318,318
810,339,339
811,314,314
812,316,316
813,318,318
814,319,319
815,315,315
816,321,321
817,319,319
818,314,314
819,331,331
820,333,333
821,314,314
822,315,315
823,316,316
824,301,301
825,325,325
826,319,319
827,308,308
828,325,325
829,311,311
830,318,318
831,339,339
832,314,314
833,319,319
834,315,315
835,322,322
836,322,322
837,331,331
838,312,312
839,313,313
840,312,312
841,321,321
842,312,312
843,326,326
844,321,321
845,322,322
846,321,321
847,329,329
848,302,302
849,326,326
850,314,314
851,313,313
852,317,317
853,323,323
854,324,324
855,305,305
856,325,325
857,318,318
858,333,333
859,322,322
860,324,324
861,326,326
862,321,321
863,325,325
864,317,317
865,318,318
866,317,317
867,327,327
868,325,325
869,320,320
870,317,317
871,324,324
872,320,320
873,326,326
874,334,334
875,316,316
876,320,320
877,320,320
878,318,318
879,314,314
880,320,320
881,318,318
882,320,320
883,313,313
884,333,333
885,334,334
886,322,322
887,322,322
888,334,334
889,321,321
890,322,322
891,322,322
892,319,319
893,333,333
894,333,333
895,324,324
896,321,321
897,319,319
898,323,323
899,316,316
900,331,331
901,319,319
902,318,318
903,335,335
904,328,328
905,323,323
906,304,304
907,324,324
908,318,318
909,325,325
910,336,336
911,312,312
912,313,313
913,322,322
914,318,318
915,328,328
916,323,323
917,322,322
918,324,324
919,321,321
920,328,328
921,316,316
922,322,322
923,327,327
924,324,324
925,323,323
926,320,320
927,328,328
928,323,323
929,324,324
930,325,325
931,325,325
932,321,321
933,330,330
934,328,328
935,340,340
936,325,325
937,321,321
938,324,324
939,318,318
940,311,311
941,313,313
942,316,316
943,325,325
944,315,315
945,315,315
946,317,317
947,327,327
948,335,335
949,313,313
950,332,332
951,327,327
952,323,323
953,311,311
954,333,333
955,330,330
956,326,326
957,314,314
958,316,316
959,327,327
960,330,330
961,330,330
962,332,332
963,307,307
964,321,321
965,317,317
966,323,323
967,335,335
968,317,317
969,318,318
970,318,318
971,323,323
972,321,321
973,316,316
974,331,331
975,311,311
976,316,316
977,330,330
978,327,327
979,307,307
980,321,321
981,329,329
982,316,316
983,322,322
984,317,317
985,322,322
986,317,317
987,317,317
988,321,321
989,334,334
990,316,316
991,328,328
992,331,331
993,317,317
994,329,329
995,317,317
996,320,320
997,332,332
998,329,329
999,327,327
1000,320,320
1001,317,317
1002,331,331
1003,330,330
1004,319,319
1005,325,325
1006,328,328
1007,312,312
1008,316,316
1009,336,336
1010,314,314
1011,316,316
1012,327,327
1013,333,333
1014,311,311
1015,318,318
1016,321,321
1017,322,322
1018,314,314
1019,328,328
1020,316,316
1021,323,323
1022,320,320
1023,321,321
1024,323,323
1025,327,327
1026,326,326
1027,316,316
1028,327,327
1029,326,326
1030,318,318
1031,322,322
1032,333,333
1033,326,326
1034,324,324
1035,325,325
1036,316,316
1037,314,314
1038,324,324
1039,323,323
1040,311,311
1041,309,309
1042,329,329
1043,320,320
1044,312,312
1045,323,323
1046,325,325
1047,325,325
1048,336,336
1049,328,328
1050,322,322
