Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
0,333,333
1,323,323
2,318,318
3,327,327
4,331,331
5,312,312
6,324,324
7,309,309
8,322,322
9,319,319
10,327,327
11,307,307
12,331,331
13,329,329
14,331,331
15,307,307
16,317,317
17,328,328
18,310,310
19,317,317
20,318,318
21,320,320
22,321,321
23,323,323
24,320,320
25,324,324
26,313,313
27,319,319
28,316,316
29,319,319
30,327,327
31,307,307
32,318,318
33,325,325
34,336,336
35,321,321
36,310,310
37,324,324
38,325,325
39,327,327
40,321,321
41,311,311
42,315,315
43,316,316
44,313,313
45,307,307
46,322,322
47,327,327
48,318,318
49,320,320
50,334,334
51,304,304
52,323,323
53,324,324
54,324,324
55,317,317
56,321,321
57,322,322
58,321,321
59,318,318
60,328,328
61,316,316
62,326,326
63,317,317
64,330,330
65,327,327
66,332,332
67,319,319
68,326,326
69,319,319
70,329,329
71,324,324
72,331,331
73,325,325
74,315,315
75,330,330
76,327,327
77,334,334
78,325,325
79,318,318
80,329,329
81,317,317
82,328,328
83,325,325
84,325,325
85,321,321
86,335,335
87,314,314
88,328,328
89,317,317
90,318,318
91,314,314
92,317,317
93,321,321
94,327,327
95,321,321
96,319,319
97,324,324
98,313,313
99,325,325
100,325,325
101,328,328
102,326,326
103,322,322
104,321,321
105,312,312
106,323,323
107,331,331
108,325,325
109,322,322
110,315,315
111,332,332
112,331,331
113,316,316
114,326,326
115,316,316
116,313,313
117,320,320
118,333,333
119,324,324
120,322,322
121,328,328
122,318,318
123,329,329
124,332,332
125,324,324
126,344,344
127,331,331
128,314,314
129,328,328
130,320,320
131,321,321
132,318,318
133,319,319
134,324,324
135,318,318
136,317,317
137,325,325
138,318,318
139,332,332
140,320,320
141,323,323
142,321,321
143,321,321
144,322,322
145,323,323
146,319,319
147,324,324
148,331,331
149,323,323
150,333,333
151,321,321
152,330,330
153,315,315
154,312,312
155,332,332
156,308,308
157,325,325
158,317,317
159,321,321
160,318,318
161,322,322
162,324,324
163,323,323
164,314,314
165,316,316
166,304,304
167,334,334
168,320,320
169,324,324
170,323,323
171,327,327
172,320,320
173,322,322
174,321,321
175,323,323
176,311,311
177,334,334
178,320,320
179,318,318
180,319,319
