Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
0,320,320
1,322,322
2,325,325
3,328,328
4,328,328
5,322,322
6,328,328
7,330,330
8,316,316
9,320,320
10,323,323
11,326,326
12,330,330
13,320,320
14,323,323
15,304,304
16,306,306
17,329,329
18,325,325
19,308,308
20,330,330
21,326,326
22,332,332
23,312,312
24,332,332
25,317,317
26,329,329
27,328,328
28,323,323
29,318,318
30,331,331
31,326,326
32,337,337
33,334,334
34,333,333
35,338,338
36,333,333
37,319,319
38,336,336
39,326,326
40,320,320
41,329,329
42,327,327
43,321,321
44,318,318
45,327,327
46,315,315
47,327,327
48,321,321
49,333,333
50,331,331
51,331,331
52,320,320
53,328,328
54,318,318
55,330,330
56,329,329
57,317,317
58,319,319
59,320,320
60,319,319
61,320,320
62,314,314
63,325,325
64,335,335
65,332,332
66,321,321
67,328,328
68,328,328
69,325,325
70,339,339
71,329,329
72,328,328
73,323,323
74,322,322
75,325,325
76,325,325
77,319,319
78,324,324
79,325,325
80,339,339
81,322,322
82,349,349
83,327,327
84,320,320
85,329,329
86,336,336
87,326,326
88,317,317
89,336,336
90,322,322
91,323,323
92,333,333
93,328,328
94,343,343
95,326,326
96,320,320
97,330,330
98,334,334
99,314,314
100,312,312
101,322,322
102,325,325
103,339,339
104,335,335
105,328,328
106,342,342
107,328,328
108,322,322
109,337,337
110,325,325
111,335,335
112,336,336
113,335,335
114,339,339
115,334,334
116,343,343
117,330,330
118,333,333
119,316,316
120,319,319
121,334,334
122,322,322
123,326,326
124,321,321
125,340,340
126,335,335
127,315,315
128,324,324
129,313,313
130,327,327
131,318,318
132,326,326
133,334,334
134,329,329
135,333,333
136,336,336
137,331,331
138,335,335
139,330,330
140,343,343
141,332,332
142,320,320
143,324,324
144,327,327
145,330,330
146,336,336
147,330,330
148,326,326
149,334,334
150,323,323
151,327,327
152,338,338
153,321,321
154,328,328
155,322,322
156,335,335
157,324,324
158,331,331
159,335,335
160,332,332
161,326,326
162,335,335
163,323,323
164,325,325
165,330,330
166,306,306
167,324,324
168,324,324
169,330,330
170,320,320
171,333,333
172,324,324
173,331,331
174,319,319
175,328,328
176,324,324
177,322,322
178,342,342
179,325,325
180,333,333
181,331,331
182,319,319
183,326,326
184,330,330
185,325,325
186,325,325
187,326,326
188,324,324
189,330,330
190,326,326
191,316,316
192,334,334
193,322,322
194,337,337
195,320,320
196,336,336
197,330,330
198,320,320
199,329,329
200,329,329
201,324,324
202,335,335
203,325,325
204,330,330
205,322,322
206,341,341
207,332,332
208,317,317
209,333,333
210,338,338
211,326,326
212,314,314
213,331,331
214,324,324
215,337,337
216,322,322
217,342,342
218,323,323
219,320,320
220,321,321
221,335,335
222,326,326
223,323,323
224,319,319
225,334,334
226,325,325
227,325,325
228,334,334
229,338,338
230,329,329
231,345,345
232,328,328
233,328,328
234,334,334
235,318,318
236,320,320
237,333,333
238,331,331
239,339,339
240,328,328
241,323,323
242,320,320
243,339,339
244,315,315
245,326,326
246,336,336
247,334,334
248,322,322
249,334,334
250,337,337
251,331,331
252,332,332
253,321,321
254,335,335
255,335,335
256,342,342
257,324,324
258,340,340
259,330,330
260,338,338
261,332,332
262,337,337
263,340,340
264,348,348
265,336,336
266,345,345
267,334,334
268,335,335
269,319,319
270,323,323
271,332,332
272,327,327
273,336,336
274,323,323
275,318,318
276,319,319
277,317,317
278,325,325
279,336,336
280,331,331
281,321,321
282,332,332
283,318,318
284,324,324
285,323,323
286,322,322
287,329,329
288,337,337
289,327,327
290,315,315
291,321,321
292,327,327
293,332,332
294,326,326
295,318,318
296,329,329
297,324,324
298,329,329
299,331,331
300,320,320
301,334,334
302,332,332
303,338,338
304,321,321
305,337,337
306,334,334
307,335,335
308,327,327
309,328,328
310,337,337
311,329,329
312,337,337
313,322,322
314,331,331
315,340,340
316,321,321
317,344,344
318,324,324
319,331,331
320,330,330
321,337,337
322,326,326
323,321,321
324,315,315
325,323,323
326,324,324
327,316,316
328,331,331
329,331,331
330,324,324
331,322,322
332,314,314
333,329,329
334,335,335
335,342,342
336,327,327
337,327,327
338,324,324
339,330,330
340,320,320
341,331,331
342,332,332
343,333,333
344,319,319
345,328,328
346,332,332
347,320,320
348,332,332
349,321,321
350,328,328
351,333,333
352,329,329
353,326,326
354,329,329
355,337,337
356,329,329
357,325,325
358,325,325
359,325,325
360,327,327
361,317,317
362,328,328
363,331,331
364,321,321
365,330,330
366,329,329
367,323,323
368,308,308
369,321,321
370,318,318
371,325,325
372,315,315
373,335,335
374,319,319
375,317,317
376,328,328
377,329,329
378,319,319
379,322,322
380,337,337
381,328,328
382,329,329
383,326,326
384,310,310
385,327,327
386,331,331
387,334,334
388,319,319
389,334,334
390,322,322
391,326,326
392,314,314
393,325,325
394,326,326
395,323,323
396,334,334
397,329,329
398,325,325
399,322,322
400,331,331
401,328,328
402,329,329
403,326,326
404,320,320
405,337,337
406,329,329
407,327,327
408,321,321
409,320,320
410,316,316
411,323,323
412,330,330
413,327,327
414,336,336
415,326,326
416,336,336
417,331,331
418,331,331
419,329,329
420,334,334
421,325,325
422,335,335
423,329,329
424,341,341
425,322,322
426,326,326
427,327,327
428,326,326
429,326,326
430,340,340
431,326,326
432,345,345
433,330,330
434,338,338
435,333,333
436,336,336
437,327,327
438,315,315
439,329,329
440,319,319
441,324,324
442,331,331
443,320,320
444,322,322
445,329,329
446,325,325
447,326,326
448,326,326
449,319,319
450,323,323
451,325,325
452,326,326
453,319,319
454,319,319
455,325,325
456,326,326
457,327,327
458,316,316
459,326,326
460,326,326
461,340,340
462,323,323
463,327,327
464,330,330
465,326,326
466,319,319
467,332,332
468,325,325
469,319,319
470,319,319
471,329,329
472,327,327
473,318,318
474,333,333
475,323,323
476,322,322
477,332,332
478,333,333
479,336,336
480,326,326
481,328,328
482,315,315
483,329,329
484,328,328
485,330,330
486,329,329
487,346,346
488,332,332
489,328,328
490,337,337
491,325,325
492,322,322
493,328,328
494,331,331
495,318,318
496,328,328
497,342,342
498,324,324
499,332,332
500,332,332
501,345,345
502,318,318
503,327,327
504,335,335
505,326,326
506,336,336
507,338,338
508,333,333
509,331,331
510,321,321
511,318,318
512,324,324
513,331,331
514,320,320
515,312,312
516,333,333
517,327,327
518,323,323
519,319,319
520,325,325
521,323,323
522,338,338
523,334,334
524,321,321
525,332,332
526,324,324
527,337,337
528,327,327
529,328,328
530,313,313
531,310,310
532,320,320
533,332,332
534,312,312
535,319,319
536,316,316
537,321,321
538,317,317
539,315,315
540,318,318
541,316,316
542,322,322
543,332,332
544,322,322
545,314,314
546,333,333
547,322,322
548,332,332
549,318,318
550,321,321
551,321,321
552,312,312
553,308,308
554,304,304
555,321,321
556,335,335
557,326,326
558,326,326
559,309,309
560,311,311
561,337,337
562,329,329
563,325,325
564,323,323
565,321,321
566,316,316
567,323,323
568,328,328
569,318,318
570,330,330
571,317,317
572,320,320
573,323,323
574,312,312
575,330,330
576,321,321
577,330,330
578,331,331
579,317,317
580,315,315
581,323,323
582,316,316
583,314,314
584,322,322
585,322,322
586,323,323
587,315,315
588,314,314
589,335,335
590,319,319
591,320,320
592,330,330
593,323,323
594,326,326
595,320,320
596,329,329
597,329,329
598,322,322
599,318,318
600,323,323
601,335,335
602,331,331
603,332,332
604,313,313
605,334,334
606,329,329
607,311,311
608,320,320
609,320,320
610,328,328
611,329,329
612,328,328
613,322,322
614,334,334
615,329,329
616,335,335
617,332,332
618,327,327
619,320,320
620,329,329
621,332,332
622,331,331
623,318,318
624,329,329
625,322,322
626,319,319
627,316,316
628,331,331
629,323,323
630,320,320
631,320,320
632,322,322
633,310,310
634,320,320
635,320,320
636,332,332
637,330,330
638,316,316
639,307,307
640,336,336
641,333,333
642,326,326
643,333,333
644,325,325
645,319,319
646,330,330
647,321,321
648,328,328
649,325,325
650,316,316
651,306,306
652,321,321
653,318,318
654,319,319
655,315,315
656,329,329
657,324,324
658,323,323
659,325,325
660,320,320
661,326,326
662,311,311
663,318,318
664,322,322
665,313,313
666,317,317
667,317,317
668,328,328
669,311,311
670,319,319
671,327,327
672,324,324
673,321,321
674,331,331
675,325,325
676,332,332
677,320,320
678,316,316
679,312,312
680,310,310
681,305,305
682,335,335
683,312,312
684,315,315
685,320,320
686,321,321
687,321,321
688,318,318
689,322,322
690,322,322
691,320,320
692,306,306
693,312,312
694,321,321
695,322,322
696,319,319
697,322,322
698,323,323
699,322,322
700,320,320
701,322,322
702,320,320
703,315,315
704,325,325
705,328,328
706,325,325
707,315,315
708,327,327
709,324,324
710,328,328
711,339,339
712,334,334
713,327,327
714,322,322
715,321,321
716,329,329
717,317,317
718,319,319
719,330,330
720,333,333
721,324,324
722,326,326
723,325,325
724,325,325
725,326,326
726,327,327
727,333,333
728,323,323
729,309,309
730,329,329
731,319,319
732,319,319
733,327,327
734,313,313
735,316,316
736,318,318
737,324,324
738,332,332
739,318,318
740,317,317
741,333,333
742,340,340
743,325,325
744,339,339
745,324,324
746,320,320
747,341,341
748,319,319
749,324,324
750,337,337
751,334,334
752,339,339
753,330,330
754,332,332
755,319,319
756,319,319
757,324,324
758,329,329
759,339,339
760,326,326
761,336,336
762,330,330
763,336,336
764,319,319
765,340,340
766,325,325
767,338,338
768,343,343
769,321,321
770,321,321
771,322,322
772,325,325
773,323,323
774,325,325
775,315,315
776,315,315
777,325,325
778,324,324
779,326,326
780,332,332
781,321,321
782,318,318
783,338,338
784,324,324
785,328,328
786,320,320
787,329,329
788,327,327
789,327,327
790,328,328
791,330,330
792,339,339
793,327,327
794,318,318
795,326,326
796,328,328
797,331,331
798,324,324
799,325,325
800,327,327
801,335,335
802,342,342
803,344,344
804,319,319
805,336,336
806,325,325
807,330,330
808,322,322
809,335,335
810,342,342
811,315,315
812,331,331
813,312,312
814,328,328
815,320,320
816,327,327
817,333,333
818,329,329
819,309,309
820,324,324
821,334,334
822,329,329
823,315,315
824,333,333
825,322,322
826,329,329
827,330,330
828,316,316
829,310,310
830,326,326
831,309,309
832,334,334
833,314,314
834,316,316
835,330,330
836,323,323
837,318,318
838,322,322
839,320,320
840,329,329
841,331,331
842,320,320
843,321,321
844,334,334
845,318,318
846,325,325
847,310,310
848,332,332
849,327,327
850,318,318
851,327,327
852,326,326
853,332,332
854,314,314
855,332,332
856,317,317
857,320,320
858,330,330
859,324,324
860,322,322
861,336,336
862,338,338
863,332,332
864,331,331
865,329,329
866,331,331
867,326,326
868,318,318
869,329,329
870,318,318
871,326,326
872,325,325
873,335,335
874,327,327
875,327,327
876,347,347
877,335,335
878,322,322
879,324,324
880,324,324
881,332,332
882,333,333
883,321,321
884,317,317
885,318,318
886,328,328
887,318,318
888,324,324
889,333,333
890,327,327
891,326,326
892,335,335
893,322,322
894,331,331
895,327,327
896,320,320
897,329,329
898,318,318
899,325,325
900,319,319
901,318,318
902,326,326
903,323,323
904,313,313
905,316,316
906,332,332
907,327,327
908,329,329
909,339,339
910,338,338
911,326,326
912,326,326
913,326,326
914,330,330
915,324,324
916,337,337
917,327,327
918,332,332
919,321,321
920,339,339
921,333,333
922,321,321
923,320,320
924,331,331
