Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,326,326
1,344,344
2,333,333
3,346,346
4,319,319
5,336,336
6,333,333
7,340,340
8,336,336
9,326,326
10,332,332
11,329,329
12,342,342
13,330,330
14,343,343
15,342,342
16,346,346
17,325,325
18,340,340
19,340,340
20,325,325
21,339,339
22,339,339
23,323,323
24,331,331
25,327,327
26,324,324
27,324,324
28,335,335
29,347,347
30,335,335
31,334,334
32,344,344
33,334,334
34,347,347
35,330,330
36,336,336
37,330,330
38,337,337
39,333,333
40,330,330
41,325,325
42,328,328
43,330,330
44,332,332
45,341,341
46,322,322
47,319,319
48,328,328
49,352,352
50,338,338
51,337,337
52,331,331
53,340,340
54,335,335
55,334,334
56,333,333
57,330,330
58,324,324
59,336,336
60,331,331
61,336,336
62,324,324
63,328,328
64,323,323
65,333,333
66,325,325
67,331,331
68,327,327
69,325,325
70,327,327
71,339,339
72,337,337
73,322,322
74,318,318
75,337,337
76,335,335
77,330,330
78,340,340
79,333,333
80,339,339
81,345,345
82,322,322
83,330,330
84,336,336
85,334,334
86,348,348
87,345,345
88,338,338
89,346,346
90,340,340
91,338,338
92,339,339
93,340,340
94,344,344
95,328,328
96,344,344
97,361,361
98,350,350
99,341,341
100,343,343
101,334,334
102,323,323
103,331,331
104,342,342
105,336,336
106,337,337
107,335,335
108,343,343
109,329,329
110,327,327
111,344,344
112,348,348
113,344,344
114,339,339
115,335,335
116,338,338
117,348,348
118,347,347
119,342,342
120,344,344
121,348,348
122,349,349
123,337,337
124,331,331
125,322,322
126,334,334
127,337,337
128,342,342
129,340,340
130,340,340
131,337,337
132,325,325
133,343,343
134,342,342
135,337,337
136,346,346
137,330,330
138,325,325
139,354,354
140,336,336
141,332,332
142,330,330
143,342,342
144,344,344
145,340,340
146,344,344
147,348,348
148,337,337
149,336,336
150,343,343
151,335,335
152,338,338
153,337,337
154,335,335
155,342,342
156,345,345
157,353,353
158,335,335
159,354,354
160,349,349
161,333,333
162,350,350
163,348,348
164,331,331
165,365,365
166,355,355
167,348,348
168,354,354
169,354,354
170,346,346
171,357,357
172,337,337
173,331,331
174,343,343
175,344,344
176,344,344
177,334,334
178,338,338
179,340,340
180,344,344
181,344,344
182,339,339
183,332,332
184,324,324
185,328,328
186,333,333
187,338,338
188,335,335
189,326,326
190,338,338
191,331,331
192,342,342
193,345,345
194,334,334
195,340,340
196,337,337
197,335,335
198,345,345
199,347,347
200,328,328
201,343,343
202,344,344
203,347,347
204,335,335
205,342,342
206,340,340
207,331,331
208,340,340
209,335,335
210,336,336
