Frame,FSPP_Lig1_HB_Count,FSPP_Lig2_HB_Count
0,328,328
1,343,343
2,326,326
3,333,333
4,316,316
5,329,329
6,352,352
7,342,342
8,351,351
9,355,355
10,345,345
11,348,348
12,333,333
13,328,328
14,339,339
15,341,341
16,331,331
17,336,336
18,340,340
19,350,350
20,333,333
21,345,345
22,342,342
23,334,334
24,336,336
25,336,336
26,339,339
27,340,340
28,343,343
29,349,349
30,341,341
31,343,343
32,346,346
33,339,339
34,332,332
35,345,345
36,345,345
37,338,338
38,334,334
39,342,342
40,344,344
41,355,355
42,339,339
43,344,344
44,333,333
45,332,332
46,339,339
47,345,345
48,338,338
49,337,337
50,331,331
51,340,340
52,336,336
53,339,339
54,339,339
55,337,337
56,330,330
57,345,345
58,341,341
59,344,344
60,347,347
61,344,344
62,342,342
63,342,342
64,343,343
65,328,328
66,347,347
67,351,351
68,343,343
69,345,345
70,343,343
71,336,336
72,340,340
73,340,340
74,341,341
75,344,344
76,338,338
77,340,340
78,331,331
79,337,337
80,331,331
81,333,333
82,352,352
83,344,344
84,321,321
85,339,339
86,340,340
87,345,345
88,335,335
89,341,341
90,338,338
91,342,342
92,332,332
93,335,335
94,344,344
95,345,345
96,334,334
97,325,325
98,340,340
99,338,338
100,338,338
101,343,343
102,333,333
103,349,349
104,334,334
105,345,345
106,338,338
107,339,339
108,331,331
109,343,343
110,344,344
111,328,328
112,342,342
113,331,331
114,345,345
115,337,337
116,343,343
117,341,341
118,344,344
119,336,336
120,327,327
121,338,338
122,332,332
123,329,329
124,338,338
125,339,339
126,336,336
127,339,339
128,329,329
129,333,333
130,338,338
131,346,346
132,328,328
133,334,334
134,330,330
135,334,334
136,332,332
137,337,337
138,344,344
139,337,337
140,327,327
141,339,339
142,332,332
143,342,342
144,327,327
145,340,340
146,338,338
147,340,340
148,344,344
149,333,333
150,339,339
151,333,333
152,338,338
153,340,340
154,330,330
155,336,336
156,341,341
157,341,341
158,330,330
159,347,347
160,324,324
161,329,329
162,346,346
163,330,330
164,328,328
165,337,337
166,329,329
167,345,345
168,347,347
169,338,338
170,331,331
171,327,327
172,343,343
173,345,345
174,336,336
175,320,320
176,340,340
177,343,343
178,345,345
179,339,339
180,335,335
181,339,339
182,341,341
183,322,322
184,337,337
185,331,331
186,329,329
187,333,333
188,330,330
189,332,332
190,334,334
191,335,335
192,339,339
193,352,352
194,331,331
195,337,337
196,341,341
197,337,337
198,332,332
199,333,333
200,332,332
201,346,346
202,332,332
203,355,355
204,346,346
205,340,340
206,337,337
207,335,335
208,330,330
